-----
Train
3	correct: 0	prediction: 1
remains   :	0.36283	0.93839
utterly   :	0.06122	0.99506
satisfied :	0.40000	0.99227
to        :	0.01244	0.05945
remain    :	0.42857	0.95406
the       :	0.08649	0.02038
same      :	0.33051	0.70228
throughout:	0.60417	0.90227

21	correct: 1	prediction: 0
if        :	0.09143	0.50394
anything  :	0.32601	0.91121
,         :	0.13772	1.00000
see       :	0.22963	0.54953
it        :	0.02345	0.16996
for       :	0.03808	0.13691
karen     :	0.00000	0.98850
black     :	0.22137	0.81143
,         :	0.13772	1.00000
who       :	0.16286	0.44065
camps     :	1.00000	0.98506
up        :	0.05082	0.54917
a         :	0.13990	0.06005
storm     :	0.71429	0.95611
as        :	0.02241	0.13967
a         :	0.13990	0.06005
fringe    :	0.50000	0.98642
feminist  :	0.75000	0.99085
conspiracy:	0.00000	0.98467
theorist  :	0.50000	0.99689
named     :	0.86667	0.78735
dirty     :	0.13043	0.98993
dick      :	0.33333	0.97787
.         :	0.05715	1.00000

59	correct: 0	prediction: 1
far          :	0.00526	0.87274
less         :	0.47826	0.86982
sophisticated:	0.75904	0.99396
and          :	0.21466	0.04975

102	correct: 0	prediction: 1
yet     :	0.28522	0.90433
this    :	0.00505	0.22046
grating :	1.00000	0.99940
showcase:	0.41176	0.99419

109	correct: 1	prediction: 0
would  :	0.38134	0.50215
have   :	0.14662	0.36430
liked  :	0.35211	0.99105
it     :	0.02345	0.16996
more   :	0.01789	0.50071
if     :	0.09143	0.50394
it     :	0.02345	0.16996
had    :	0.21714	0.43443
just   :	0.35238	0.66972
gone   :	0.66316	0.96279
that   :	0.06844	0.16101
one    :	0.14229	0.02457
step   :	0.36842	0.96102
further:	0.15385	0.66527

143	correct: 0	prediction: 1
watching             :	0.14793	0.98544
this                 :	0.00505	0.22046
digital-effects-heavy:	0.33333	1.00000
,                    :	0.13772	1.00000
supposed             :	0.65000	0.97169
family-friendly      :	0.09091	1.00000
comedy               :	0.19278	0.94184

159	correct: 0	prediction: 1
about      :	0.08378	0.50893
as         :	0.02241	0.13967
interesting:	0.32864	0.96162

172	correct: 1	prediction: 0
the    :	0.08649	0.02038
picture:	0.20732	0.92157
runs   :	0.40260	0.91185
a      :	0.13990	0.06005
mere   :	0.56250	0.98796
84     :	0.40000	1.00000
minutes:	0.67920	0.92544
,      :	0.13772	1.00000
but    :	0.07212	0.35883
it     :	0.02345	0.16996
's     :	0.06778	1.00000
no     :	0.60580	0.42036
glance :	1.00000	0.99596
.      :	0.05715	1.00000

250	correct: 0	prediction: 1
second:	0.13402	0.67346
fiddle:	1.00000	0.99536

269	correct: 1	prediction: 0
in    :	0.05937	0.04876
no    :	0.60580	0.42036
small :	0.55814	0.79746
part  :	0.53788	0.65623
thanks:	0.77778	0.88382
to    :	0.01244	0.05945
lau   :	1.00000	0.99671

285	correct: 1	prediction: 0
an        :	0.24268	0.23808
admittedly:	0.33333	0.99713
middling  :	0.60000	0.99974
film      :	0.26053	0.64063

319	correct: 1	prediction: 0
,      :	0.13772	1.00000
84     :	0.40000	1.00000
minutes:	0.67920	0.92544
is     :	0.04295	0.10337
short  :	0.48182	0.83797

331	correct: 1	prediction: 0
men:	0.29577	0.80984

344	correct: 0	prediction: 1
taboo  :	0.55556	0.99799
subject:	0.23932	0.85066
matter :	0.01250	0.92476

443	correct: 0	prediction: 1
wait:	0.52941	0.97740
to  :	0.01244	0.05945
see :	0.22963	0.54953
it  :	0.02345	0.16996
then:	0.23383	0.60218
.   :	0.05715	1.00000

457	correct: 1	prediction: 0
felt        :	0.30120	0.96140
performances:	0.65009	0.96432
across      :	0.01124	0.89678
the         :	0.08649	0.02038
board       :	0.77778	0.87208
.           :	0.05715	1.00000

459	correct: 1	prediction: 0
has      :	0.16225	0.35205
finally  :	0.30000	0.92977
made     :	0.07591	0.46088
a        :	0.13990	0.06005
movie    :	0.06203	0.91379
that     :	0.06844	0.16101
is       :	0.04295	0.10337
n't      :	0.44526	1.00000
just     :	0.35238	0.66972
offensive:	0.92683	0.96937

509	correct: 0	prediction: 1
the         :	0.08649	0.02038
cliché-laden:	1.00000	1.00000
screenplay  :	0.21076	0.98879

519	correct: 0	prediction: 1
book  :	0.00787	0.77458
report:	0.21053	0.81087

575	correct: 0	prediction: 1
a    :	0.13990	0.06005
doubt:	0.01538	0.96993

598	correct: 0	prediction: 1
required:	0.03030	0.91982
to      :	0.01244	0.05945
give    :	0.22222	0.89482
this    :	0.00505	0.22046
comic   :	0.50000	0.95815
slugfest:	0.75000	0.99992
some    :	0.22772	0.54335
heart   :	0.78043	0.92810

610	correct: 1	prediction: 0
lead    :	0.00952	0.86184
a       :	0.13990	0.06005
group   :	0.59259	0.66893
of      :	0.13062	0.03843
talented:	0.32450	0.99311
friends :	0.26829	0.93275
astray  :	0.84615	0.99937

621	correct: 0	prediction: 1
devastatingly:	0.42857	0.99992

645	correct: 1	prediction: 0
it        :	0.02345	0.16996
forces    :	0.38889	0.88437
you       :	0.12113	0.42225
to        :	0.01244	0.05945
watch     :	0.04762	0.96045
people    :	0.14012	0.45785
doing     :	0.00000	0.93113
unpleasant:	0.89474	0.99731
things    :	0.09265	0.89051
to        :	0.01244	0.05945
each      :	0.29323	0.74658
other     :	0.14340	0.45978
and       :	0.21466	0.04975
themselves:	0.01562	0.92810

680	correct: 0	prediction: 1
emotional:	0.42056	0.98671
seesawing:	0.20000	1.00000

710	correct: 0	prediction: 1
